Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma
Escape Room - Rompecabezas;17.95;No está disponible;;;Abstracto;Familiares, Cooperativo, Solitario, Para 2;de 14 a 18 años, más de 18 años;1, 2;150 min.;330 x 230 x 45 mm;Medio;Diset;Alta;Escape room;Español
Skytear: Nupten;27;Disponible;;;;;;;;;;TCG;;;
Skytear;58.5;Disponible;Giacomo Neri, Riccardo Neri, Riccardo Parmeggiani;25906;Espada y Brujería;Para 2, Ameritrash;de 14 a 18 años, más de 18 años;2, 3, 4;45 min.;250 x 295 x 95 mm;Medio;TCG;Media;Arena;Español
Skytear: Taulot;27;Disponible;;;;;;;;;;TCG;;;
Clinic: The extension;36;Disponible;Alban Vlard;;Medicina, Urbano;Experiencia, Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;60 - 150 min;;Difícil;Maldito Games;Nula (Sólo instrucciones);Pick & Deliver;
El año tranquilo;26.95;Disponible;;;;;;;;;;;Alta;;Español
Timeline Revolución Mexicana;8.05;Disponible;;;Historia;Familiares, Rápido, Viaje;de 14 a 18 años, más de 18 años;2, 3, 4;;;Medio;;Alta;Preguntas y respuestas;Español e Inglés
Timeline Eventos (Blister);9.99;No está disponible;Frédéric Henry;113401;Historia;Familiares, Para 2, Fiesta, Rápido, Infantil, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7, 8;15;Blíster con caja redonda de 85 mm x 25 mm (diámetro x alto);Fácil;Asmodée;Poca;Preguntas y respuestas;Español
Primer Contacto;22.5;Disponible;Damir Husnatdinov;258309;Abstracto;Familiares, Fiesta;de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7;40 min;265 x 265 x 60 mm;Medio;Maldito Games;Alta;Deducción e Investigación, Juegos de palabras;Español
Cocos Locos;19.8;Disponible;;;;;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años;2, 3, 4;20;;;Maldito Games;;;
Cocos Más Locos;19.8;Disponible;Walter Schneider;;Animales;Familiares, Rápido, Infantil;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 min.;;Medio;Maldito Games;;Habilidad;Español
Carcassonne: Mercados y Puentes;18;Disponible;Klaus-Jürgen Wrede;66646;Medieval;Familiares, Para 2;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 6;40 min;;Medio;Devir;Nula (Sólo instrucciones);Colocación de losetas, Colocación de trabajadores;Español
Carcassonne Edición X Aniversario;20.7;No está disponible;;;;;de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5;30-45 minutos;;;Devir;;;Español
Carcassonne: Constructores y Comerciantes;16.2;No está disponible;;;;;de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6;'75''';;;Devir;;;Español
Periodic - El Juego de los Elementos;31.45;Disponible;;;;;;;;;;MasQueOca;;;
Time Bomb Evolucion;11.69;Disponible;Yusuke Sato;;Arte y Literatura, Steampunk;Rápido;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6;15 min;100 x 150 x 40 mm;Fácil;TCG;Nula (Sólo instrucciones);Roles ocultos;
Cristal Oscuro;44.95;Disponible;;235247;;;de 14 a 18 años;2, 3, 4;60;;;Crazy Pawn;;;
La liebre y la tortuga (Cuentos y juegos);18;Disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6;45;;;Devir;;;Español
Animalix;13.45;Disponible;;;;;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1, 2, 3, 4, 5, 6, 7, 8, +8;;;;;;;Español
Canción de hielo y fuego: Juego de miniaturas;149.99;Disponible;Eric M. Lang, Michael Shinall ;223376;Medieval, TV/Series/Cine;;de 14 a 18 años;2;45 - 60 min;450 x 280 x 130 mm;Medio;Edge Entertainment;Media;Wargame;Español
Canción de hielo y fuego el juego de miniaturas: Los Hijos del Guerrero;29.99;No está disponible;;;Espada y Brujería, TV/Series/Cine;Para 2;de 14 a 18 años, más de 18 años;2;; 	225 X 155 X 63 mm;Difícil;Edge Entertainment;Media;Wargame;Español
Canción de hielo y fuego el juego de miniaturas: Alabarderos Lannister;20.99;Disponible;;;Espada y Brujería, TV/Series/Cine;Para 2;de 14 a 18 años, más de 18 años;2;; 	225 X 155 X 63 mm;Difícil;Edge Entertainment;;Wargame;
Canción de hielo y fuego el juego de miniaturas: Lacustres Rastreadores;29.99;No está disponible;;;Espada y Brujería, TV/Series/Cine;Para 2;de 14 a 18 años, más de 18 años;2;;225 X 155 X 63 mm;Difícil;Edge Entertainment;Poca;Wargame;Español
Canción de hielo y fuego el juego de miniaturas: Batidores Stark;29.99;No está disponible;;;Espada y Brujería, TV/Series/Cine;Para 2, Ameritrash;de 14 a 18 años, más de 18 años;2;;;Difícil;Edge Entertainment;Media;Wargame;Español
Canción de Hielo y Fuego: Desollados Bolton;29.99;No está disponible;;;;;de 14 a 18 años;2;60;;;Edge Entertainment;;;
Canción de Hielo y Fuego: Las chicas del Bastardo Bolton;29.99;No está disponible;;;;;de 14 a 18 años;2;60;;;Edge Entertainment;;;
Canción de Hielo y Fuego: Dotación de Escorpión de los Constructores;29.99;No está disponible;;;;;de 14 a 18 años;2;60;;;Edge Entertainment;;;
Canción de Hielo y Fuego: Exploradores Cazadores;29.99;No está disponible;;;;;de 14 a 18 años;2;60;;;Edge Entertainment;;;
Canción de Hielo y Fuego: Hermanos juramentados;29.99;No está disponible;;;;;de 14 a 18 años;2;60;;;Edge Entertainment;;;
Canción de hielo y fuego: Caballeros de Roca Casterly;29.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;225 x 155 x 70 mm;;;;;
Canción de hielo y fuego: Piromantes;29.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;225 x 155 x 70 mm;;;;;
Canción de hielo y fuego: Hombres de la Montaña;29.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;225 x 155 x 70 mm;;;;;
Canción de hielo y fuego: Arqueros Stark;29.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;225 x 155 x 70 mm;;;;;
Canción de hielo y fuego: Grandes Hachas Umber;29.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;225 x 155 x 70 mm;;;;;
Canción de hielo y fuego: Berserkers Umber;29.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;;;;;;
Canción de hielo y fuego: Guardia de la Noche;84.99;No está disponible;;;;;de 14 a 18 años, más de 18 años;2;60;350 x 350 x 105 mm;;;;;
