Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1;Bed Bugs;12.63;Disponible;;;;;de 3 a 6 años;2, 3, 4;;28x28x8cm;;Cayro;;;;
2;Doodle Rush;17.22;Disponible;;244948;;Para 2, Infantil;;;;;Fácil;SD Games;Nula (Sólo instrucciones);;Español, Catalán;6,33233
3;Brains: Mapa del Tesoro;13.45;Disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1;5-20;;;SD Games;;;;
4;Fuji Koro;57.6;Disponible;;;;;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6;60;;;Game Brewer;;;;
5;Narcos: El juego de tablero;39.04;Disponible;Fel Barros, Renato Sasdelli;253106;Politica, TV/Series/Cine;;más de 18 años;2, 3, 4, 5;100 min;305 x 305 x 85 mm;Medio;Edge Entertainment;Poca;Deducción e Investigación;Español;7,31038
6;Skull Tales: Piratas mellizos;10.26;Disponible;;;;;;;120;;;Eclipse Editorial;;;Español;
7;One Night Ultimate Werewolf (inglés);14.07;Disponible;;147949;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8, +8;10;;;Bezier Games;Nula (Sólo instrucciones);;Español;7,13855
8;Virus;13.46;Disponible;Carlos López, Domingo Cabrero, Santi Santisteban;180020;Medicina;Familiares, Fiesta, Infantil, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6;20 min;105 x 150 x 30 mm;Fácil;Tranjis;Nula (Sólo instrucciones);Colección de sets;Español, Inglés, Francés;6,75959
9;Virus 2 Evolution;11.95;Disponible;Carlos López, Domingo Cabrero, Santi Santisteban;266667;Medicina;Familiares, Fiesta, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;10 - 20 min;105 x 150 x 30 mm;Fácil;Tranjis;Nula (Sólo instrucciones);Colección de sets;Español;7,12686
10;La Morada Maldita;15.25;Disponible;Sergio Ortiz Ruiz;326908;Urbano;Familiares, Infantil, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;20 min.;130 x 170 x 80 mm;Medio;Mercurio;Nula (Sólo instrucciones);Colección de sets;Español;8,53992
11;¡Arre unicornio!;14.95;Disponible;Brer Ballesteros, Cere Venteo;257766;Medicina;Fiesta, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7, 8;20 - 40 min;115 x 185 x 40 mm;Medio;Zacatrus;Poca;Colección de sets, Roles ocultos;Español;6,61182
12;DC Spyfall: El villano que se perdió;24.95;Disponible;Alexander Ushan;221371;Cómic, TV/Series/Cine;Familiares, Fiesta, Viaje;de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8;45 min;155 x 200 x 45 mm;Fácil;Zacatrus;Nula (Sólo instrucciones);Preguntas y respuestas, Roles ocultos;Español;6,66986
13;Coup + Reforma;14.95;No está disponible;Rikki Tahta;131357;Medieval;Familiares, Fiesta;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8, +8;15 min;180 x 130 x 40 mm;Medio;Zacatrus;Poca;Roles ocultos;Español;7,00377
14;Batman Póker de Villanos;9.95;Disponible;Matt Hyra;208533;Cómic, TV/Series/Cine;Familiares, Fiesta, Viaje;de 14 a 18 años, más de 18 años;5, 6, 7, 8;30 min;138 x 100 x 38 mm;Medio;Zacatrus;Poca;Bazas, Colección de sets;Español;5,442
15;El Portero Baldomero;12.5;No está disponible;Rikki Tahta;205420;Abstracto;Familiares, Fiesta, Rápido;de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8;15;130 x 180 x 40 mm;Fácil;Zacatrus;Alta;Roles ocultos;Español;6,73713
16;El Espía (que se perdió);19.95;Disponible;Alexander Ushan;166384;Detectivesca;Familiares, Fiesta, Rápido;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8;15 min;150 x 205 x 65 mm;Fácil;Zacatrus;Poca;Preguntas y respuestas, Roles ocultos;Español;6,87755
17;Misión Secreta;9.95;Disponible;Alberto Corazón;285183;Ciencia Ficción;Familiares, Fiesta, Rápido, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6, 7, 8, +8;15 min;110 x 150 x 30 mm;Fácil;Zacatrus;Nula (Sólo instrucciones);Roles ocultos;Español;6,68852
18;GoT: Game of Trolls;9.95;Disponible;;;TV/Series/Cine;Familiares, Fiesta, Viaje;de 10 a 14 años, de 14 a 18 años;+8;30 min;;Fácil;Zacatrus;Media;Deducción e Investigación, Roles ocultos;Español;
19;Alex Colt: Cadete Espacial;9.95;Disponible;Alberto Corazón;236479;Arte y Literatura, Ciencia Ficción;Familiares, Rápido, Infantil;de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6, 7, 8, +8;15 min;140 x 210 x 40 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Roles ocultos;Español;6,08
20;'''10'''' To Kill''';19.95;Disponible;Benoit Bannier;174476;;Familiares, Rápido;de 14 a 18 años, más de 18 años;2, 3, 4;10 min;200 x 200 x 60 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Deducción e Investigación;Español;6,27392
21;24h;24.95;Disponible;David Bernal;;Detectivesca, Historia, Mitología;Familiares, Para 2, Viaje;de 14 a 18 años, más de 18 años;2, 3, 4, 6, 7, 8;20 min;160 x 230 x 60 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Deducción e Investigación, Programación acciones;Español;
22;Saboteur, ¡los enanos contraatacan!;17.95;No está disponible;;;;Familiares;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8, +8;30;;;Mercurio;;;Español;
23;Saboteur 2;11.24;No está disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6, 7, 8;30 minutos;;;Mercurio;;;Español;
24;Saboteur;10.95;No está disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8;'''30-60''''''';;;Mercurio;;;Español;
25;Misión Cumplida;9.95;No está disponible;Ken Gruhl;246761;Abstracto;Familiares, Cooperativo, Solitario, Para 2, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4;20 min;110 x 150 x 30 mm;Medio;Zacatrus;Poca;Bazas, Gestión de cartas;Español;7,18807
26;Macedonia de Letras;18.2;Disponible;;275467;Abstracto;Familiares, Cooperativo, Fiesta;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;30 - 45 min;230 x 160 x 50 mm;Fácil;Devir;Nula (Sólo instrucciones);Deducción e Investigación;Español;7,2944
27;Trapwords;18;Disponible;Jan Brezina, Martin Hrabalek, Michal Pozarek;257527;Espada y Brujería;Familiares, Fiesta;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6, 7, 8;30 min;160 x 235 x 50 mm;Medio;Devir;Alta;Preguntas y respuestas;Español;7,01222
28;Just One;19.99;Disponible;Bruno Sautter, Ludovic Roudy;254640;Abstracto;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7;20 min;160 x 230 x 50 mm;Fácil;Repos Production;Alta;;Español;7,60517
29;The Mind;11.65;No está disponible;;;Abstracto;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4;;;;Mercurio;;Gestión de cartas;;
30;The Game;11.65;Disponible;;173090;Abstracto;Cooperativo, Solitario, Para 2, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1, 2, 3, 4, 5;20;;Fácil;Mercurio;Nula (Sólo instrucciones);Colección de sets, Negociación;;6,70992
31;The Mind Extreme;11.65;No está disponible;Wolfgang Warsch;287607;Abstracto;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 min;100 x 130 x 20 mm;Medio;Mercurio;Nula (Sólo instrucciones);Gestión de cartas;Español;7,11289
32;La Tripulación;13.5;Disponible;;284083;Ciencia Ficción;Familiares, Cooperativo, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5;20 min;125 x 180 x 40 mm;Medio;Devir;Poca;Bazas;Español;8,01308
